gameid,season,away,home
20100125INDPHI,2009,IND,PHI
20100125NOHPOR,2009,NOH,POR
20100125CHISAS,2009,CHI,SAS
20100125PHXUTA,2009,PHX,UTA
20100126MILDAL,2009,MIL,DAL
20100126MINNYK,2009,MIN,NYK
20100126CHAPHX,2009,CHA,PHX
20100126GSWSAC,2009,GSW,SAC
20100126LALWAS,2009,LAL,WAS
20100127MINCLE,2009,MIN,CLE
20100127MEMDET,2009,MEM,DET
20100127NOHGSW,2009,NOH,GSW
20100127DENHOU,2009,DEN,HOU
20100127LALIND,2009,LAL,IND
20100127PHIMIL,2009,PHI,MIL
20100127LACNJN,2009,LAC,NJN
20100127CHIOKC,2009,CHI,OKC
20100127UTAPOR,2009,UTA,POR
20100127ATLSAS,2009,ATL,SAS
20100127MIATOR,2009,MIA,TOR
20100128TORNYK,2009,TOR,NYK
20100128BOSORL,2009,BOS,ORL
20100128DALPHX,2009,DAL,PHX
20100129BOSATL,2009,BOS,ATL
20100129MIADET,2009,MIA,DET
20100129CHAGSW,2009,CHA,GSW
20100129PORHOU,2009,POR,HOU
20100129CLEIND,2009,CLE,IND
20100129LACMIN,2009,LAC,MIN
20100129WASNJN,2009,WAS,NJN
20100129CHINOH,2009,CHI,NOH
20100129DENOKC,2009,DEN,OKC
20100129LALPHI,2009,LAL,PHI
20100129MEMSAS,2009,MEM,SAS
20100129SACUTA,2009,SAC,UTA
20100130PORDAL,2009,POR,DAL
20100130NOHMEM,2009,NOH,MEM
20100130MIAMIL,2009,MIA,MIL
20100130ATLORL,2009,ATL,ORL
