dataid,gameid
1349227,20140306LACLAL
1348841,20140306OKCPHX
1349858,20140306MIASAS
1349023,20140307ATLGSW
1349346,20140307INDHOU
1348846,20140307LALDEN
1349026,20140307PORDAL
1349861,20140307MILNOP
1349024,20140307DETMIN
1349875,20140307UTANYK
1349229,20140307BKNBOS
1349924,20140307SACTOR
1349936,20140307CLECHA
1348925,20140307MEMCHI
1349454,20140308ATLLAC
1349493,20140308WASMIL
1349862,20140308ORLSAS
1349661,20140308CHAMEM
1349553,20140308NYKCLE
1349375,20140308UTAPHI
1349027,20140309PHXGSW
1349032,20140309INDDAL
1349355,20140309PORHOU
1349028,20140309TORMIN
1349864,20140309DENNOP
1349036,20140309SACBKN
1349235,20140309DETBOS
1349232,20140309OKCLAL
1348932,20140309MIACHI
1349459,20140310PHXLAC
1349636,20140310ATLUTA
1349497,20140310ORLMIL
1349882,20140310PHINYK
1349041,20140310TORBKN
1349696,20140310WASMIA
1349938,20140310DENCHA
1349030,20140311DALGSW
1349665,20140311PORMEM
1349428,20140311HOUOKC
1349031,20140311MILMIN
1348938,20140311SASCHI
1349815,20140311SACDET
1349267,20140311BOSIND
1349462,20140312GSWLAC
1348844,20140312CLEPHX
1349865,20140312PORSAS
1349639,20140312DALUTA
1349867,20140312MEMNOP
1349239,20140312NYKBOS
1349385,20140312SACPHI
1349400,20140312CHAWAS
1349698,20140312BKNMIA
1349925,20140312DETTOR
1348931,20140312DENORL
1349432,20140313LALOKC
1349807,20140313MILATL
1348945,20140313HOUCHI
1349035,20140314CLEGSW
1349643,20140314LACUTA
1349868,20140314LALSAS
1349874,20140314PORNOP
1349701,20140314DENMIA
1349244,20140314PHXBOS
1349435,20140314INDPHI
1349928,20140314MEMTOR
1349941,20140314MINCHA
1348937,20140314WASORL
1348950,20140315SACCHI
1349833,20140315DENATL
1349823,20140315INDDET
1349447,20140315MEMPHI
1349406,20140315BKNWAS
1349885,20140315MILNYK
1349466,20140316CLELAC
1349211,20140316GSWPOR
1349870,20140316UTASAS
1349438,20140316DALOKC
1349034,20140316SACMIN
1349876,20140316BOSNOP
1349703,20140316HOUMIA
1349931,20140316PHXTOR
1349501,20140316CHAMIL
1348850,20140317LACDEN
